Rank,Population_Density,Zip,Population
1,146955.3,10028,46169
2,132677.4,10128,62447
3,132095.7,10075,24377
4,129548.9,10025,97373
5,123875.9,10023,60762
6,120133.3,10040,45278
7,115461.7,10026,38372
8,110137.5,10162,1252
9,108864.6,10021,42142
10,105863.1,10030,29530
11,102965.2,10005,7570
12,100237,10009,61806
13,100108.6,10033,60520
14,98998.8,10003,57068
15,94363.1,10029,77857
16,94164.6,10016,50112
17,90849.3,10002,79894
18,90523.6,10031,58912
19,90074.7,10456,91737
20,89842.8,10032,59069
21,86656,11109,4337
22,85787.3,10453,79002
23,85703.2,11372,63202
24,82215.9,10065,31761
25,80408.9,10011,52941
26,78604.4,10010,30708
27,76855.1,10012,24846
28,76427.7,10452,75252
29,76237.1,11226,98299
30,75597.1,10458,76276
31,72357.3,10027,63057
32,70556.6,10038,20997
33,69066.6,10024,59249
34,68340.7,10037,18041
35,68090,11104,26555
36,68058.9,10022,29699
37,67476.6,10282,5903
38,67444.4,11225,59613
39,66913.8,10457,71015
40,66609.4,11219,98719
41,66519.9,10468,72683
42,66309,10472,69659
43,65936.5,11373,100713
44,63671.9,10280,8817
45,60559.1,11221,83773
46,59083.4,10459,48269
47,58197.9,11216,54440
48,57987.2,11206,83180
49,57520.9,11213,62756
50,57057.9,11212,87751
51,56986.1,10019,38752
52,56785.4,11220,101715
53,56097.4,10455,39951
54,56042.6,10039,25952
55,55901.7,10014,31835
56,55400.8,11237,55258
57,54427.5,10036,24127
58,53801.6,11103,38257
59,53018.6,10069,5523
60,52602.7,11218,75132
61,51663.6,11233,69637
62,51271.5,10462,76114
63,51150.5,11217,38567
64,50847,10017,16278
65,50567.5,11204,80349
66,49860.2,10044,12050
67,48772.7,10013,26937
68,48298.2,11355,83799
69,47323,11230,87064
70,47063.6,10451,47818
71,46994.1,11238,51959
72,45618.8,11205,43320
73,45091.8,10463,71238
74,44728.9,11374,41792
75,44604.3,10460,58676
76,44344,11106,38633
77,43215,11102,35027
78,42831.5,11419,48370
79,42589.3,10467,99251
80,41367.1,11368,110385
81,41282.4,10007,6748
82,40852.4,11210,67042
83,40359.9,11214,88297
84,39908,11211,94681
